end_stat_id,end_name,end_lat,end_lon
7051.0,Wellesley St E / Yonge St (Green P),43.6651,-79.3838
7116.0,Parliament St / Bloor St E,,
7218.0,Make Invisible - 7218,,
7219.0,Wolfpack - 7219,,
7254.0,Borden St / Bloor St W - SMART,,
7358.0,Gailbraith Rd / Kings College Cr. (U of T),43.6609,-79.396
7393.0,55 Magnificent Rd. Garage,43.6122,-79.5108
7394.0,Toronto Bike Shop,,
7402.0,Wellington St W / Bathurst St,43.6425,-79.4016
7436.0,Shaw St / Dupont St,,
7456.0,Belmont St / Davenport Rd - SMART,43.6742,-79.3914
7470.0,York St / Lake Shore Blvd W,,
7481.0,Westmount Ave / St Clair Ave W,,
7510.0,Princes Gate / Nunavut Dr,43.6324,-79.4183
7511.0,PBSC-OPS,,
7532.0,135 Queens Wharf - SMART,,
7573.0,Torrens Ave / Broadview Ave,43.6905393,-79.3546671
7638.0,Warehouse EBS-Station,,
7649.0,Greenwood Subway Station,43.6826,-79.3304
7651.0,Bloor St W / Gladstone Ave,43.6599,-79.4346
7000.0,Fort York  Blvd / Capreol Ct,43.639832,-79.395954
7001.0,Wellesley Station Green P,43.66496415990742,-79.38355031526893
7002.0,St. George St / Bloor St W,43.667333,-79.399429
7003.0,Madison Ave / Bloor St W,43.667158,-79.402761
7004.0,University Ave / Elm St,43.656518,-79.389099
7005.0,King St W / York St,43.6480008,-79.383177
7006.0,Bay St / College St (East Side),43.660439,-79.385525
7007.0,College St / Huron St,43.658148,-79.398167
7008.0,Wellesley St / Queen's Park Cres,43.663376,-79.392125
7009.0,King St E / Jarvis St,43.650325,-79.372287
7010.0,King St W / Spadina Ave,43.645323,-79.395003
7011.0,Wellington St W / Portland St,43.642982,-79.399256
7012.0,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327
7013.0,Scott St / The Esplanade,43.64656,-79.375274
7014.0,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181
7015.0,King St W / Bay St (West Side),43.64852,-79.380576
7016.0,Bay St / Queens Quay W (Ferry Terminal),43.640978,-79.376785
7017.0,Widmer St / Adelaide St W,43.6475076,-79.3914841
7018.0,Bremner Blvd / Rees St,43.641529,-79.386741
7019.0,Temperance St. Station,43.6507021,-79.3800546
7020.0,Phoebe St / Spadina Ave,43.650033,-79.396555
7021.0,Bay St / Albert St,43.653264,-79.382458
7022.0,Simcoe St / Queen St W,43.65049,-79.3873
7023.0,College St / Borden St,43.6571,-79.4056
7024.0,Dundonald St / Church St,43.66663,-79.38148
7025.0,Ted Rogers Way / Bloor St E,43.671293,-79.380471
7026.0,Bay St / St. Joseph St,43.665527,-79.387499
7027.0,Beverley  St / Dundas St W,43.652823,-79.393388
